site_code,soil_depth,n_layers,layer_depth,layer_sand%,layer_clay%
CA-Ca1,-999,1,-999,80.0,5.0
CA-Oas,-999,1,-999,50.0,26.62
CA-Obs,-999,1,-999,96.0,3.0
CA-Ojp,-999,1,-999,94.0,2.2
CA-Qfo,-999,1,-999,51.0,4.0
CA-TP4,-999,1,-999,98.0,0.0
US-Dk3,-999,1,-999,52.0,14.0
US-Ha1,-999,1,-999,66.0,6.0
US-Ho1,0.8,1,-999,50.3,15.9
US-Me2,-999,1,-999,67.0,7.0
US-MMS,-999,1,-999,34.0,63.0
US-MOz,-999,1,-999,55.0,5.0
US-NR1,-999,1,-999,43.13,21.43
US-UMB,1.21,1,1.21,0.6,92.8
