YEAR, DOY, HOUR, YEAR_GMT, DOY_GMT, HOUR_GMT, Tair, Tair_f, RH, RH_f, Wind, Wind_f, Rainf, Rainf_f, PSurf, PSurf_f, PAR, PAR_f, LWdown, LWdown_f, SolarElevation
YEAR, DOY, HOUR, YEAR_GMT, DOY_GMT, HOUR_GMT, K, ---, %, ---, m/s, ---, kg/m2/s, ---, Pa, ---, umol/m2/s, ---, W/m2, ---, degree
2011,1,0.000000,2011,1,6.000000,260.370000,0,92.500000,0,1.476000,0,0.000141,0,94800.003052,0,0.000000,0,260.953491,0,-65.484924
2011,1,0.500000,2011,1,6.500000,260.420000,0,92.800003,0,1.720000,0,0.000000,0,94699.996948,0,0.000000,0,260.953491,0,-64.886520
2011,1,1.000000,2011,1,7.000000,260.570000,0,93.400002,0,0.984000,0,0.000141,0,94599.998474,0,0.000000,0,261.116486,0,-62.938969
2011,1,1.500000,2011,1,7.500000,260.730000,0,93.800003,0,0.534000,0,0.000141,0,94599.998474,0,0.000000,0,261.666290,0,-59.913342
2011,1,2.000000,2011,1,8.000000,260.820000,0,93.800003,0,0.482000,0,0.000141,0,94699.996948,0,0.000000,0,262.133087,0,-56.112953
2011,1,2.500000,2011,1,8.500000,260.810000,0,94.000000,0,0.218000,0,0.000141,0,94699.996948,0,0.000000,0,262.092499,0,-51.788620
2011,1,3.000000,2011,1,9.000000,260.670000,0,94.000000,0,0.172000,0,0.000000,0,94599.998474,0,0.000000,0,261.462891,0,-47.122910
2011,1,3.500000,2011,1,9.500000,260.480000,0,93.900002,0,0.346000,0,0.000000,0,94599.998474,0,0.000000,0,260.912506,0,-42.243805
2011,1,4.000000,2011,1,10.000000,260.520000,0,93.900002,0,0.452000,0,0.000141,0,94599.998474,0,0.000000,0,260.112488,0,-37.242146
2011,1,4.500000,2011,1,10.500000,260.220000,0,92.800003,0,0.602000,0,0.000282,0,94599.998474,0,0.000000,0,259.934204,0,-32.185188
2011,1,5.000000,2011,1,11.000000,258.770000,0,90.599998,0,0.635000,0,0.000141,0,94599.998474,0,0.000000,0,257.745789,0,-27.125793
2011,1,5.500000,2011,1,11.500000,257.280000,0,88.900002,0,0.604000,0,0.000000,0,94599.998474,0,0.000000,0,252.766006,0,-22.108505
2011,1,6.000000,2011,1,12.000000,256.230000,0,88.599998,0,0.550000,0,0.000000,0,94599.998474,0,0.000000,0,247.735596,0,-17.173592
2011,1,6.500000,2011,1,12.500000,255.539999,0,88.400002,0,0.539000,0,0.000000,0,94699.996948,0,0.000000,0,244.208694,0,-12.359854
2011,1,7.000000,2011,1,13.000000,255.170000,0,88.500000,0,0.534000,0,0.000282,0,94699.996948,0,0.000000,0,241.738297,0,-7.706644
2011,1,7.500000,2011,1,13.500000,254.690001,0,87.800003,0,0.675000,0,0.000141,0,94699.996948,0,2.548636,0,239.322800,0,-3.255358
2011,1,8.000000,2011,1,14.000000,254.150000,0,87.599998,0,0.554000,0,0.000141,0,94699.996948,0,6.952136,0,237.597305,0,0.949492
2011,1,8.500000,2011,1,14.500000,254.180001,0,87.300003,0,0.591000,0,0.000141,0,94699.996948,0,13.906331,0,237.598404,0,4.859649
2011,1,9.000000,2011,1,15.000000,254.310000,0,86.699997,0,0.824000,0,0.000141,0,94800.003052,0,20.864643,0,238.881897,0,8.423022
2011,1,9.500000,2011,1,15.500000,254.490000,0,87.000000,0,0.626000,0,0.000141,0,94800.003052,0,31.055069,0,239.725098,0,11.584336
2011,1,10.000000,2011,1,16.000000,255.449999,0,86.199997,0,0.597000,0,0.000000,0,94800.003052,0,63.746784,0,244.917404,0,14.286717
2011,1,10.500000,2011,1,16.500000,256.289999,0,85.699997,0,0.513000,0,0.000000,0,94800.003052,0,67.215652,0,250.675903,0,16.474396
2011,1,11.000000,2011,1,17.000000,256.580000,0,85.300003,0,0.682000,0,0.000000,0,94800.003052,0,71.374161,0,253.714600,0,18.096457
2011,1,11.500000,2011,1,17.500000,257.660000,0,85.500000,0,0.774000,0,0.000141,0,94800.003052,0,93.360779,0,257.208313,0,19.111301
